material_a,material_b,mu,quelle
holz,holz,0.40,Quelle n.n.
holz,stahl,0.40,Quelle n.n.
holz,beton,0.60,Quelle n.n.
stahl,holz,0.40,Quelle n.n.
stahl,stahl,0.10,Quelle n.n.
stahl,beton,0.20,Quelle n.n.
beton,holz,0.60,Quelle n.n.
beton,stahl,0.20,Quelle n.n.
beton,beton,0.50,Quelle n.n.
ton,holz,0.25,Quelle n.n.
ton,stahl,0.20,Quelle n.n.
ton,beton,0.25,Quelle n.n.
lehm,holz,0.40,Quelle n.n.
lehm,stahl,0.20,Quelle n.n.
lehm,beton,0.40,Quelle n.n.
sand,holz,0.65,Quelle n.n.
sand,stahl,0.20,Quelle n.n.
sand,beton,0.65,Quelle n.n.
kies,holz,0.65,Quelle n.n.
kies,stahl,0.20,Quelle n.n.
kies,beton,0.65,Quelle n.n.
gummi,holz,0.60,Quelle n.n.
gummi,stahl,0.60,Quelle n.n.
gummi,beton,0.60,Quelle n.n.
